tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-02-18,DKI1 (Bunderan HI),43,59,29,13,12,29,59,PM25,SEDANG
2021-02-19,DKI1 (Bunderan HI),29,41,19,20,12,23,41,PM25,BAIK
2021-02-20,DKI1 (Bunderan HI),30,38,18,11,18,20,38,PM25,BAIK
2021-02-21,DKI1 (Bunderan HI),31,45,18,10,16,17,45,PM25,BAIK
2021-02-22,DKI1 (Bunderan HI),51,67,20,18,11,23,67,PM25,SEDANG
2021-02-23,DKI1 (Bunderan HI),50,64,22,11,20,23,64,PM25,SEDANG
2021-02-24,DKI1 (Bunderan HI),30,42,22,10,9,16,42,PM25,BAIK
2021-02-25,DKI1 (Bunderan HI),31,48,26,12,14,17,48,PM25,BAIK
2021-02-26,DKI1 (Bunderan HI),29,38,18,13,18,20,38,PM25,BAIK
2021-02-02,DKI2 (Kelapa Gading),30,42,38,4,55,15,55,O3,SEDANG
2021-02-03,DKI2 (Kelapa Gading),24,35,38,4,42,15,42,O3,BAIK
2021-02-04,DKI2 (Kelapa Gading),33,50,39,7,47,15,50,PM25,BAIK
2021-02-05,DKI2 (Kelapa Gading),25,35,39,5,45,13,45,O3,BAIK
2021-02-06,DKI2 (Kelapa Gading),30,38,37,,57,9,57,O3,SEDANG
2021-02-07,DKI2 (Kelapa Gading),28,30,37,,57,5,57,O3,SEDANG
2021-02-08,DKI2 (Kelapa Gading),26,31,37,,54,12,54,O3,SEDANG
2021-02-09,DKI2 (Kelapa Gading),33,50,39,6,47,16,50,PM25,BAIK
2021-02-10,DKI2 (Kelapa Gading),34,46,39,4,49,10,49,O3,BAIK
2021-02-11,DKI2 (Kelapa Gading),33,49,43,6,35,11,49,PM25,BAIK
2021-02-12,DKI2 (Kelapa Gading),43,62,43,14,33,11,62,PM25,SEDANG
2021-02-13,DKI2 (Kelapa Gading),27,47,38,8,40,11,47,PM25,BAIK
2021-02-16,DKI2 (Kelapa Gading),28,41,38,11,42,15,42,O3,BAIK
2021-02-20,DKI2 (Kelapa Gading),31,34,38,8,53,9,53,O3,SEDANG
2021-02-21,DKI2 (Kelapa Gading),36,40,39,9,48,9,48,O3,BAIK
2021-02-22,DKI2 (Kelapa Gading),60,69,42,15,41,19,69,PM25,SEDANG
2021-02-23,DKI2 (Kelapa Gading),48,61,40,9,54,17,61,PM25,SEDANG
2021-02-24,DKI2 (Kelapa Gading),30,39,40,10,33,10,40,SO2,BAIK
2021-02-25,DKI2 (Kelapa Gading),30,45,43,12,45,12,45,PM25,BAIK
2021-02-26,DKI2 (Kelapa Gading),45,54,43,13,,19,54,PM25,SEDANG
