tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-01-22,DKI5 (Kebon Jeruk) Jakarta Barat,0.35294117647058826,0.4285714285714286,0.2857142857142857,0.5238095238095238,0.64,0.32352941176470584,45,PM10,BAIK
2021-01-24,DKI5 (Kebon Jeruk) Jakarta Barat,0.1411764705882353,0.4285714285714286,0.1746031746031746,0.3333333333333333,0.41999999999999993,0.4117647058823529,29,CO,BAIK
2021-01-26,DKI5 (Kebon Jeruk) Jakarta Barat,0.4941176470588235,0.4285714285714286,0.2857142857142857,0.9999999999999999,0.5599999999999999,0.3529411764705882,57,PM10,SEDANG
2021-01-27,DKI5 (Kebon Jeruk) Jakarta Barat,0.0,0.4285714285714286,0.20634920634920634,0.14285714285714285,0.24000000000000002,0.4117647058823529,20,CO,BAIK
2021-01-28,DKI5 (Kebon Jeruk) Jakarta Barat,0.15294117647058825,0.4285714285714286,0.25396825396825395,0.4285714285714285,0.4,0.4117647058823529,28,PM10,BAIK
2021-01-29,DKI5 (Kebon Jeruk) Jakarta Barat,0.1764705882352941,0.4285714285714286,0.30158730158730157,0.38095238095238093,0.48,0.2058823529411765,32,CO,BAIK
2021-01-30,DKI5 (Kebon Jeruk) Jakarta Barat,0.10588235294117648,0.4285714285714286,0.2222222222222222,0.2857142857142857,0.38,0.17647058823529413,27,CO,BAIK
2021-01-31,DKI5 (Kebon Jeruk) Jakarta Barat,0.3058823529411765,0.4285714285714286,0.2222222222222222,0.8095238095238094,0.41999999999999993,0.11764705882352941,41,PM10,BAIK
2021-02-02,DKI1 (Bunderan HI),0.1764705882352941,0.16883116883116886,0.2857142857142857,0.5714285714285714,0.16,0.588235294117647,46,PM25,BAIK
2021-02-03,DKI1 (Bunderan HI),0.09411764705882353,0.08441558441558442,0.25396825396825395,0.4285714285714285,0.12000000000000002,0.4411764705882353,33,PM25,BAIK
2021-02-04,DKI1 (Bunderan HI),0.24705882352941178,0.21428571428571427,0.31746031746031744,0.5714285714285714,0.07999999999999999,0.588235294117647,53,PM25,SEDANG
2021-02-05,DKI1 (Bunderan HI),0.1647058823529412,0.1038961038961039,0.2698412698412698,0.5714285714285714,0.07999999999999999,0.5,36,PM25,BAIK
2021-02-06,DKI1 (Bunderan HI),0.1411764705882353,0.09090909090909091,0.2857142857142857,0.2857142857142857,0.26,0.32352941176470584,34,PM25,BAIK
2021-02-07,DKI1 (Bunderan HI),0.11764705882352944,0.019480519480519487,0.25396825396825395,0.23809523809523808,0.22,0.2352941176470588,25,PM10,BAIK
2021-02-08,DKI1 (Bunderan HI),0.10588235294117648,0.038961038961038946,0.25396825396825395,0.38095238095238093,0.19999999999999998,0.38235294117647056,26,PM25,BAIK
